"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"U-47","서비스 관리","스팸 메일 릴레이 제한","양호 : 릴레이 제한이 설정된 경우 | 취약 : 릴레이 제한이 설정되어 있지 않은 경우","양호","대상 서비스(postfix sendmail) 구동: 비활성","Linux(amzn)","10.0.9.57","상","mail"
"U-48","서비스 관리","expn, vrfy 명령어 제한","양호 : noexpn, novrfy 옵션이 설정된 경우 | 취약 : noexpn, novrfy 옵션이 설정되어 있지 않은 경우","양호","대상 서비스(sendmail) 구동: 비활성","Linux(amzn)","10.0.9.57","중","sendmail"
"U-49","서비스 관리","DNS 보안 버전 패치","양호 : 주기적으로 패치를 관리하는 경우 | 취약 : 주기적으로 패치를 관리하고 있지 않은 경우","N/A","대상 서비스(named bind9) 구동: 비활성","Linux(amzn)","10.0.9.57","상","DNS"
"U-50","서비스 관리","DNS Zone Transfer 설정","양호 : Zone Transfer를 허가된 사용자에게만 허용한 경우 | 취약 : Zone Transfer를 모든 사용자에게 허용한 경우","양호","대상 서비스(named bind9) 구동: 비활성","Linux(amzn)","10.0.9.57","상","DNS"
"U-51","서비스 관리","DNS 취약한 동적 업데이트 설정 금지","양호 : DNS 서비스의 동적 업데이트 기능이 비활성화되었거나, 활성화 시 적절한 접근통제를 수행하고 있는 경우 | 취약 : DNS 서비스의 동적 업데이트 기능이 활성화 중이며 적절한 접근통제를 수행하고 있지 않은 경우","양호","대상 서비스(named bind9) 구동: 비활성","Linux(amzn)","10.0.9.57","중","DNS"
"U-52","서비스 관리","Telnet 서비스 비활성화","양호 : 원격 접속 시 Telnet 프로토콜을 비활성화하고 있는 경우 | 취약 : 원격 접속 시 Telnet 프로토콜을 사용하는 경우","양호","대상 서비스(telnet telnet.socket telnetd) 구동: 비활성","Linux(amzn)","10.0.9.57","중","systemd/process"
"U-53","서비스 관리","FTP 서비스 정보 노출 제한","양호 : FTP 접속 배너에 노출되는 정보가 없는 경우 | 취약 : FTP 접속 배너에 노출되는 정보가 있는 경우","양호","대상 서비스(vsftpd proftpd) 구동: 비활성","Linux(amzn)","10.0.9.57","하","ftp"
"U-54","서비스 관리","암호화되지 않는 FTP 서비스 비활성화","양호 : 암호화되지 않은 FTP 서비스가 비활성화된 경우 | 취약 : 암호화되지 않은 FTP 서비스가 활성화된 경우","양호","대상 서비스(vsftpd proftpd pure-ftpd) 구동: 비활성","Linux(amzn)","10.0.9.57","중","ftp"
"U-55","서비스 관리","FTP 계정 Shell 제한","양호 : FTP 계정에 /bin/false(/sbin/nologin) 쉘이 부여된 경우 | 취약 : FTP 계정에 /bin/false(/sbin/nologin) 쉘이 부여되어 있지 않은 경우","양호","ftp 계정 없음","Linux(amzn)","10.0.9.57","중","/etc/passwd"
"U-56","서비스 관리","FTP 서비스 접근 제어 설정","양호 : 특정 IP주소 또는 호스트에서만 FTP 서버에 접속할 수 있도록 접근 제어 설정을 적용한 경우 | 취약 : FTP 서버에 접근 제어 설정을 적용하지 않은 경우","양호","대상 서비스(vsftpd proftpd) 구동: 비활성","Linux(amzn)","10.0.9.57","하","ftp"
"U-57","서비스 관리","Ftpusers 파일 설정","양호 : root 계정 접속을 차단한 경우 | 취약 : root 계정 접속을 허용한 경우","양호","대상 서비스(vsftpd proftpd) 구동: 비활성 | (ftpusers 파일 없음)","Linux(amzn)","10.0.9.57","중","/etc/ftpusers"
"U-58","서비스 관리","불필요한 SNMP 서비스 구동 점검","양호 : SNMP 서비스를 사용하지 않는 경우 | 취약 : SNMP 서비스를 사용하는 경우","양호","대상 서비스(snmpd snmp) 구동: 비활성","Linux(amzn)","10.0.9.57","중","systemd/process"
"U-59","서비스 관리","안전한 SNMP 버전 사용","양호 : SNMP 서비스를 v3 이상으로 사용하는 경우 | 취약 : SNMP 서비스를 v2 이하로 사용하는 경우","양호","대상 서비스(snmpd) 구동: 비활성","Linux(amzn)","10.0.9.57","중","snmp"
"U-60","서비스 관리","SNMP Community String 복잡성 설정","양호 : SNMP Community String 기본값인 “public”, “private”이 아닌 영문자, 숫자 포함 10자리 이상 또는 영문자, 숫자, 특수문자 포함 8자리 이상인 경우 | 취약 : 아래의 내용 중 하나라도 해당되는 경우","양호","대상 서비스(snmpd) 구동: 비활성","Linux(amzn)","10.0.9.57","상","snmp"
"U-61","서비스 관리","SNMP Access Control 설정","양호 : SNMP 서비스에 접근 제어 설정이 되어 있는 경우 | 취약 : SNMP 서비스에 접근 제어 설정이 되어 있지 않은 경우","양호","대상 서비스(snmpd) 구동: 비활성","Linux(amzn)","10.0.9.57","상","snmp"
"U-62","서비스 관리","로그인 시 경고 메시지 설정","양호 : 서버 및 Telnet, FTP, SMTP, DNS 서비스에 로그온 시 경고 메시지가 설정된 경우 | 취약 : 서버 및 Telnet, FTP, SMTP, DNS 서비스에 로그온 시 경고 메시지가 설정되어 있지 않은 경우","양호","/etc/motd:  | /etc/issue: ******************************************************************************** | /etc/issue.net: ******************************************************************************** | /etc/ssh/sshd_config: Banner /etc/issue.net","Linux(amzn)","10.0.9.57","하","/etc/motd | /etc/issue | /etc/issue.net | sshd_config"
"U-63","서비스 관리","sudo 명령어 접근 관리","양호 : /etc/sudoers 파일 소유자가 root이고, 파일 권한이 640인 경우 | 취약 : /etc/sudoers 파일 소유자가 root가 아니거나, 파일 권한이 640을 초과하는 경우","양호","-r--r----- (440) root:root  /etc/sudoers","Linux(amzn)","10.0.9.57","중","/etc/sudoers"
"U-64","패치 관리","주기적 보안 패치 및 벤더 권고사항 적용","양호 : 패치 적용 정책을 수립하여 주기적으로 패치 관리를 하고 있으며, 패치 관련 내용을 확인하고 적용하였을 경우 | 취약 : 패치 적용 정책을 수립하지 않고 주기적으로 패치 관리를 하지 않거나, 패치 관련 내용을 확인하지 않고 적용하지 않고 있는 경우","양호","현재 커널: 6.1.170-213.321.amzn2023.x86_64 | 기준(최신) 패치 버전: 6.1.170-213.321.amzn2023.x86_64 | 적용 대기 업데이트(dnf): 0개","Linux(amzn)","10.0.9.57","상","커널 | conf:LATEST_KERNEL_VERSION"
"U-65","로그 관리","NTP 및 시각 동기화 설정","양호 : NTP 및 시각 동기화 설정이 기준에 따라 적용된 경우 | 취약 : NTP 및 시각 동기화 설정이 기준에 따라 적용되어 있지 않은 경우","양호","시각 동기화 서비스: 구동중=[chronyd] | System clock synchronized: yes | NTP service: active","Linux(amzn)","10.0.9.57","중","timesyncd/chrony/ntp"
"U-66","로그 관리","정책에 따른 시스템 로깅 설정","양호 : 로그 기록 정책이 보안 정책에 따라 설정되어 수립되어 있으며, 로그를 남기고 있는 경우 | 취약 : 로그 기록 정책 미수립 또는 정책에 따라 설정되어 있지 않거나, 로그를 남기고 있지 않은 경우","양호","로깅 서비스 구동중(rsyslog/journald) | rsyslog.conf 규칙: 14개","Linux(amzn)","10.0.9.57","중","/etc/rsyslog.conf | journald"
"U-67","로그 관리","로그 디렉터리 및 파일 권한 설정","양호 : 디렉터리 내 로그 파일의 소유자가 root이고, 권한이 644 이하인 경우 | 취약 : 디렉터리 내 로그 파일의 소유자가 root가 아니거나, 권한이 644를 초과하는 경우","양호","-rw------- (600) root:root  /var/log/messages | -rw------- (600) root:root  /var/log/secure | -rw-r--r-- (644) root:utmp  /var/log/wtmp","Linux(amzn)","10.0.9.57","중","/var/log"
