"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"U-33","파일 및 디렉토리 관리","숨겨진 파일 및 디렉터리 검색 및 제거","양호 : 불필요하거나 의심스러운 숨겨진 파일 및 디렉토리를 제거한 경우 | 취약 : 불필요하거나 의심스러운 숨겨진 파일 및 디렉토리를 제거하지 않은 경우","N/A","drwxrwxrwt (1777) root:root  /tmp/.font-unix | drwxrwxrwt (1777) root:root  /tmp/.XIM-unix | drwxrwxrwt (1777) root:root  /tmp/.ICE-unix | drwxrwxrwt (1777) root:root  /tmp/.X11-unix | -rw-r--r-- (644) root:root  /etc/cron.d/.placeholder | -rw-r--r-- (644) root:root  /etc/cron.yearly/.placeholder | -rw-r--r-- (644) root:root  /etc/.updated | -rw-r--r-- (644) root:root  /etc/cron.monthly/.placeholder | -rw-r--r-- (644) root:root  /etc/skel/.bashrc | -rw-r--r-- (644) root:root  /etc/skel/.bash_logout | -rw-r--r-- (644) root:root  /etc/skel/.profile | -rw-r--r-- (644) root:root  /etc/cron.daily/.placeholder | -rw-r--r-- (644) root:root  /etc/cron.hourly/.placeholder | -rw------- (600) root:root  /etc/.pwd.lock | -rw-r--r-- (644) root:root  /etc/cron.weekly/.placeholder | -rw-r--r-- (644) root:root  /etc/.resolv.conf.systemd-resolved.bak | -rw-r--r-- (644) root:root  /etc/sensors.d/.placeholder | -rw-r--r-- (644) root:root  /var/.updated | -rw-r--r-- (644) root:root  /var/lib/ieee-data/.lastupdate | -rw-r--r-- (644) landscape:landscape  /var/lib/landscape/.cleanup.user | -rw-r--r-- (644) root:root  /var/cache/apparmor/147ee081.0/.features | -rw-r--r-- (644) root:root  /var/cache/apparmor/ae1a4050.0/.features | -rw-r--r-- (644) root:root  /usr/share/vim/vim91/pack/dist/opt/editorconfig/.editorconfig | -rw-r--r-- (644) root:root  /usr/share/ieee-data/.lastupdate | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/.checked-atomic-long.h | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/tools/bpf/resolve_btfids/libbpf/staticobjs/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/tools/bpf/resolve_btfids/libsubcmd/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/tools/bpf/resolve_btfids/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/tools/objtool/libsubcmd/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/tools/objtool/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/.config | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/.missing-syscalls.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/.checked-atomic-instrumented.h | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1006-aws/.checked-atomic-arch-fallback.h | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/.checked-atomic-long.h | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/tools/bpf/resolve_btfids/libbpf/staticobjs/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/tools/bpf/resolve_btfids/libsubcmd/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/tools/bpf/resolve_btfids/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/tools/objtool/libsubcmd/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/tools/objtool/.fixdep.o.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/.config | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/.missing-syscalls.d | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/.checked-atomic-instrumented.h | -rw-r--r-- (644) root:root  /usr/src/linux-headers-7.0.0-1004-aws/.checked-atomic-arch-fallback.h | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/ipe/polgen/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/selinux/mdp/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/basic/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/gdb/linux/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/mod/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/dtc/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/gcc-plugins/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/gendwarfksyms/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/kconfig/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1006/scripts/genksyms/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/ipe/polgen/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/selinux/mdp/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/basic/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/gdb/linux/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/mod/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/dtc/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/gcc-plugins/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/gendwarfksyms/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/kconfig/.gitignore | -rw-r--r-- (644) root:root  /usr/src/linux-aws-headers-7.0.0-1004/scripts/genksyms/.gitignore | drwxr-xr-x (755) root:root  /usr/lib/modules/7.0.0-1004-aws/vdso/.build-id | drwxr-xr-x (755) root:root  /usr/lib/modules/7.0.0-1006-aws/vdso/.build-id | -rw------- (600) root:root  /root/.bash_history | drwx------ (700) root:root  /root/.ssh | -rw------- (600) root:root  /root/.viminfo | -rw-r--r-- (644) root:root  /root/.bashrc | -rw-r--r-- (644) root:root  /root/.profile | -rw------- (600) root:root  /snap/core22/2411/etc/.pwd.lock | -rw-r--r-- (644) root:root  /snap/core22/2411/etc/skel/.bash_logout | -rw-r--r-- (644) root:root  /snap/core22/2411/etc/skel/.bashrc | -rw-r--r-- (644) root:root  /snap/core22/2411/etc/skel/.profile | -rw-r--r-- (644) root:root  /snap/core22/2411/root/.bashrc | -rw-r--r-- (644) root:root  /snap/core22/2411/root/.profile | -rw------- (600) ubuntu:ubuntu  /home/ubuntu/.lesshst | -rw------- (600) ubuntu:ubuntu  /home/ubuntu/.bash_history | drwx------ (700) ubuntu:ubuntu  /home/ubuntu/.cache | drwx------ (700) ubuntu:ubuntu  /home/ubuntu/.ssh | -rw------- (600) ubuntu:ubuntu  /home/ubuntu/.viminfo | -rw-r--r-- (644) ubuntu:ubuntu  /home/ubuntu/.bashrc | -rw-r--r-- (644) ubuntu:ubuntu  /home/ubuntu/.bash_logout | -rw-r--r-- (644) ubuntu:ubuntu  /home/ubuntu/.profile","Linux(ubuntu)","10.0.14.88","하","find / (의사FS 제외)"
"U-34","서비스 관리","Finger 서비스 비활성화","양호 : Finger 서비스가 비활성화된 경우 | 취약 : Finger 서비스가 활성화된 경우","양호","대상 서비스(finger fingerd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-35","서비스 관리","Anonymous FTP 비활성화","양호 : 공유 서비스에 대해 익명 접근을 제한한 경우 | 취약 : 공유 서비스에 대해 익명 접근을 허용한 경우","양호","대상 서비스(vsftpd proftpd pure-ftpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","ftp"
"U-36","서비스 관리","r 계열 서비스 비활성화","양호 : 불필요한 r 계열 서비스가 비활성화된 경우 | 취약 : 불필요한 r 계열 서비스가 활성화된 경우","양호","대상 서비스(rsh rlogin rexec in.rshd in.rlogind in.rexecd rsh.socket rlogin.socket) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-37","서비스 관리","cron 파일 소유자 및 권한 설정","양호 : crontab 및 at 명령어에 일반 사용자 실행 권한이 제거되어 있으며, cron 및 at 관련 파일 권한이 640 이하인 경우 | 취약 : crontab 및 at 명령어에 일반 사용자 실행 권한이 부여되어 있으며, cron 및 at 관련 파일 권한이 640 이상인 경우","취약","-rw-r--r-- (644) root:root  /etc/crontab | -rw-r--r-- (644) root:root  /etc/cron.d/e2scrub_all","Linux(ubuntu)","10.0.14.88","상","/etc/crontab /etc/cron.*"
"U-38","서비스 관리","DoS 공격에 취약한 서비스 비활성화","양호 : DoS 공격에 취약한 서비스가 비활성화된 경우 | 취약 : DoS 공격에 취약한 서비스가 활성화된 경우","양호","대상 서비스(echo discard daytime chargen) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-39","서비스 관리","불필요한 NFS 서비스 비활성화","양호 : 불필요한 NFS 서비스 관련 데몬이 비활성화된 경우 | 취약 : 불필요한 NFS 서비스 관련 데몬이 활성화된 경우","양호","대상 서비스(nfs-server nfs rpcbind) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-40","서비스 관리","NFS 접근 통제","양호 : 접근 통제가 설정되어 있으며 NFS 설정 파일 접근 권한이 644 이하인 경우 | 취약 : 접근 통제가 설정되어 있지 않고 NFS 설정 파일 접근 권한이 644를 초과하는 경우","양호","대상 서비스(nfs-server nfs) 구동: 비활성 | exports: (없음/비어있음)","Linux(ubuntu)","10.0.14.88","상","nfs-server | /etc/exports"
"U-41","서비스 관리","불필요한 automountd 제거","양호 : automountd 서비스가 비활성화된 경우 | 취약 : automountd 서비스가 활성화된 경우","양호","대상 서비스(autofs automountd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-42","서비스 관리","불필요한 RPC 서비스 비활성화","양호 : 불필요한 RPC 서비스가 비활성화된 경우 | 취약 : 불필요한 RPC 서비스가 활성화된 경우","양호","대상 서비스(rpcbind rpc.cmsd rpc.ttdbserverd rusersd sprayd walld) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-43","서비스 관리","NIS, NIS+ 점검","양호 : NIS 서비스가 비활성화되어 있거나, 불가피하게 사용 시 NIS+ 서비스를 사용하는 경우 | 취약 : NIS 서비스가 활성화된 경우","양호","대상 서비스(ypserv ypbind nis) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-44","서비스 관리","tftp, talk 서비스 비활성화","양호 : tftp, talk, ntalk 서비스가 비활성화된 경우 | 취약 : tftp, talk, ntalk 서비스가 활성화된 경우","양호","대상 서비스(tftp talk ntalk tftp.socket) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","systemd/process"
"U-45","서비스 관리","메일 서비스 버전 점검","양호 : 메일 서비스 버전이 최신 버전인 경우 | 취약 : 메일 서비스 버전이 최신 버전이 아닌 경우","N/A","대상 서비스(postfix sendmail) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","postfix/sendmail (메일 서비스)"
"U-46","서비스 관리","일반 사용자의 메일 서비스 실행 방지","양호 : 일반 사용자의 메일 서비스 실행 방지가 설정된 경우 | 취약 : 일반 사용자의 메일 서비스 실행 방지가 설정되어 있지 않은 경우","양호","대상 서비스(postfix sendmail) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","mail"
"U-47","서비스 관리","스팸 메일 릴레이 제한","양호 : 릴레이 제한이 설정된 경우 | 취약 : 릴레이 제한이 설정되어 있지 않은 경우","양호","대상 서비스(postfix sendmail) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","mail"
"U-48","서비스 관리","expn, vrfy 명령어 제한","양호 : noexpn, novrfy 옵션이 설정된 경우 | 취약 : noexpn, novrfy 옵션이 설정되어 있지 않은 경우","양호","대상 서비스(sendmail) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","sendmail"
"U-49","서비스 관리","DNS 보안 버전 패치","양호 : 주기적으로 패치를 관리하는 경우 | 취약 : 주기적으로 패치를 관리하고 있지 않은 경우","N/A","대상 서비스(named bind9) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","DNS"
"U-50","서비스 관리","DNS Zone Transfer 설정","양호 : Zone Transfer를 허가된 사용자에게만 허용한 경우 | 취약 : Zone Transfer를 모든 사용자에게 허용한 경우","양호","대상 서비스(named bind9) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","DNS"
"U-51","서비스 관리","DNS 취약한 동적 업데이트 설정 금지","양호 : DNS 서비스의 동적 업데이트 기능이 비활성화되었거나, 활성화 시 적절한 접근통제를 수행하고 있는 경우 | 취약 : DNS 서비스의 동적 업데이트 기능이 활성화 중이며 적절한 접근통제를 수행하고 있지 않은 경우","양호","대상 서비스(named bind9) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","DNS"
"U-52","서비스 관리","Telnet 서비스 비활성화","양호 : 원격 접속 시 Telnet 프로토콜을 비활성화하고 있는 경우 | 취약 : 원격 접속 시 Telnet 프로토콜을 사용하는 경우","양호","대상 서비스(telnet telnet.socket telnetd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","systemd/process"
"U-53","서비스 관리","FTP 서비스 정보 노출 제한","양호 : FTP 접속 배너에 노출되는 정보가 없는 경우 | 취약 : FTP 접속 배너에 노출되는 정보가 있는 경우","양호","대상 서비스(vsftpd proftpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","하","ftp"
"U-54","서비스 관리","암호화되지 않는 FTP 서비스 비활성화","양호 : 암호화되지 않은 FTP 서비스가 비활성화된 경우 | 취약 : 암호화되지 않은 FTP 서비스가 활성화된 경우","양호","대상 서비스(vsftpd proftpd pure-ftpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","ftp"
"U-55","서비스 관리","FTP 계정 Shell 제한","양호 : FTP 계정에 /bin/false(/sbin/nologin) 쉘이 부여된 경우 | 취약 : FTP 계정에 /bin/false(/sbin/nologin) 쉘이 부여되어 있지 않은 경우","양호","ftp 계정 없음","Linux(ubuntu)","10.0.14.88","중","/etc/passwd"
"U-56","서비스 관리","FTP 서비스 접근 제어 설정","양호 : 특정 IP주소 또는 호스트에서만 FTP 서버에 접속할 수 있도록 접근 제어 설정을 적용한 경우 | 취약 : FTP 서버에 접근 제어 설정을 적용하지 않은 경우","양호","대상 서비스(vsftpd proftpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","하","ftp"
"U-57","서비스 관리","Ftpusers 파일 설정","양호 : root 계정 접속을 차단한 경우 | 취약 : root 계정 접속을 허용한 경우","양호","대상 서비스(vsftpd proftpd) 구동: 비활성 | (ftpusers 파일 없음)","Linux(ubuntu)","10.0.14.88","중","/etc/ftpusers"
"U-58","서비스 관리","불필요한 SNMP 서비스 구동 점검","양호 : SNMP 서비스를 사용하지 않는 경우 | 취약 : SNMP 서비스를 사용하는 경우","양호","대상 서비스(snmpd snmp) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","systemd/process"
"U-59","서비스 관리","안전한 SNMP 버전 사용","양호 : SNMP 서비스를 v3 이상으로 사용하는 경우 | 취약 : SNMP 서비스를 v2 이하로 사용하는 경우","양호","대상 서비스(snmpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","중","snmp"
"U-60","서비스 관리","SNMP Community String 복잡성 설정","양호 : SNMP Community String 기본값인 “public”, “private”이 아닌 영문자, 숫자 포함 10자리 이상 또는 영문자, 숫자, 특수문자 포함 8자리 이상인 경우 | 취약 : 아래의 내용 중 하나라도 해당되는 경우","양호","대상 서비스(snmpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","snmp"
"U-61","서비스 관리","SNMP Access Control 설정","양호 : SNMP 서비스에 접근 제어 설정이 되어 있는 경우 | 취약 : SNMP 서비스에 접근 제어 설정이 되어 있지 않은 경우","양호","대상 서비스(snmpd) 구동: 비활성","Linux(ubuntu)","10.0.14.88","상","snmp"
"U-62","서비스 관리","로그인 시 경고 메시지 설정","양호 : 서버 및 Telnet, FTP, SMTP, DNS 서비스에 로그온 시 경고 메시지가 설정된 경우 | 취약 : 서버 및 Telnet, FTP, SMTP, DNS 서비스에 로그온 시 경고 메시지가 설정되어 있지 않은 경우","양호","/etc/motd: (비어있음/없음) | /etc/issue: Ubuntu 26.04 LTS \n \l | /etc/issue.net: Ubuntu 26.04 LTS | /etc/ssh/sshd_config: (Banner 미설정)","Linux(ubuntu)","10.0.14.88","하","/etc/motd | /etc/issue | /etc/issue.net | sshd_config"
"U-63","서비스 관리","sudo 명령어 접근 관리","양호 : /etc/sudoers 파일 소유자가 root이고, 파일 권한이 640인 경우 | 취약 : /etc/sudoers 파일 소유자가 root가 아니거나, 파일 권한이 640을 초과하는 경우","양호","-r--r----- (440) root:root  /etc/sudoers","Linux(ubuntu)","10.0.14.88","중","/etc/sudoers"
"U-64","패치 관리","주기적 보안 패치 및 벤더 권고사항 적용","양호 : 패치 적용 정책을 수립하여 주기적으로 패치 관리를 하고 있으며, 패치 관련 내용을 확인하고 적용하였을 경우 | 취약 : 패치 적용 정책을 수립하지 않고 주기적으로 패치 관리를 하지 않거나, 패치 관련 내용을 확인하지 않고 적용하지 않고 있는 경우","양호","현재 커널: 7.0.0-1006-aws | 기준(최신) 패치 버전: 7.0.0-1006-aws | 적용 대기 업데이트(apt): 3개","Linux(ubuntu)","10.0.14.88","상","커널 | conf:LATEST_KERNEL_VERSION"
"U-65","로그 관리","NTP 및 시각 동기화 설정","양호 : NTP 및 시각 동기화 설정이 기준에 따라 적용된 경우 | 취약 : NTP 및 시각 동기화 설정이 기준에 따라 적용되어 있지 않은 경우","양호","시각 동기화 서비스: 구동중=[chronyd] | System clock synchronized: no | NTP service: active","Linux(ubuntu)","10.0.14.88","중","timesyncd/chrony/ntp"
"U-66","로그 관리","정책에 따른 시스템 로깅 설정","양호 : 로그 기록 정책이 보안 정책에 따라 설정되어 수립되어 있으며, 로그를 남기고 있는 경우 | 취약 : 로그 기록 정책 미수립 또는 정책에 따라 설정되어 있지 않거나, 로그를 남기고 있지 않은 경우","양호","로깅 서비스 구동중(rsyslog/journald) | rsyslog.conf 규칙: 12개","Linux(ubuntu)","10.0.14.88","중","/etc/rsyslog.conf | journald"
"U-67","로그 관리","로그 디렉터리 및 파일 권한 설정","양호 : 디렉터리 내 로그 파일의 소유자가 root이고, 권한이 644 이하인 경우 | 취약 : 디렉터리 내 로그 파일의 소유자가 root가 아니거나, 권한이 644를 초과하는 경우","취약","-rw-r----- (640) syslog:adm  /var/log/syslog | -rw-r----- (640) syslog:adm  /var/log/auth.log | -rw-rw-r-- (664) root:utmp  /var/log/wtmp","Linux(ubuntu)","10.0.14.88","중","/var/log"
